"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.940075644E2,2.937501879E1,4.418143375E0
1.945058645E2,2.987875814E1,4.416722085E0
1.950041262E2,3.050127968E1,4.519259446E0
1.955023444E2,3.178044329E1,4.291444594E0
1.960004262E2,2.183644362E1,3.777102019E0
1.964986065E2,3.456912712E0,2.433134219E0
1.969966750E2,9.807262180E-1,3.893278562E0
1.974948363E2,9.914861991E-1,3.997583157E0
1.979930117E2,1.005868804E0,3.665245539E0
1.984910347E2,1.051369785E0,4.806295464E0
1.989891007E2,9.758548585E-1,5.423628280E0
1.994871799E2,1.030141602E0,5.351995487E0
1.999854119E2,1.023888942E0,5.613953961E0
2.004838236E2,1.021066068E0,5.862382282E0
2.009820637E2,1.027878837E0,5.916463541E0
2.014802411E2,1.028372388E0,6.215198675E0
2.019782497E2,1.007438088E0,5.958344019E0
2.024764762E2,1.017445700E0,5.976972423E0
2.029746575E2,1.024564722E0,5.736806220E0
2.034729940E2,1.048060426E0,5.652062059E0
2.039713833E2,1.793538027E0,5.315806313E0
2.044696261E2,5.906727938E0,4.138423888E0
2.049678628E2,1.189750527E1,4.156975095E0
2.054660039E2,1.666943086E1,4.564129228E0
2.059641552E2,2.018603779E1,4.737423117E0
2.064622670E2,2.194032798E1,4.732553132E0
2.069604091E2,2.271434039E1,4.502768446E0
2.074585688E2,2.330561359E1,4.240224562E0
2.079566228E2,2.395868228E1,4.152153437E0
2.084547924E2,2.474919210E1,3.822794098E0
2.089530315E2,2.540448890E1,3.118440026E0
2.094512595E2,2.621156435E1,3.311473188E0
2.099492447E2,2.698724588E1,3.487512829E0
2.104473012E2,2.766567364E1,3.413382831E0
2.109452085E2,2.454889717E1,2.750799721E0
2.114431159E2,4.111860997E0,2.739431070E0
2.119412148E2,1.009166214E0,2.864623443E0
2.124391999E2,9.165718489E-1,3.675283606E0
2.129371325E2,9.742190519E-1,3.867353312E0
2.134349703E2,1.029401379E0,3.783097378E0
2.139331505E2,9.989443518E-1,3.962388076E0
2.144312408E2,9.608454641E-1,4.077080360E0
2.149294265E2,1.029894743E0,3.911367327E0
2.154275566E2,1.088454765E0,3.894472405E0
2.159254349E2,4.617501358E0,4.363896998E0
2.164234215E2,8.689039731E0,5.638767359E0
2.169214778E2,1.223457419E1,6.805223476E0
2.174195404E2,1.464835293E1,5.819060171E0
2.179175910E2,1.713976836E1,6.180330718E0
2.184155847E2,1.847816763E1,6.591926029E0
2.189136513E2,2.034676668E1,6.192870920E0
2.194118056E2,2.185346983E1,6.401234558E0
2.199098881E2,2.269493914E1,6.094867250E0
2.204079383E2,2.370096738E1,6.058328346E0
2.209061702E2,2.434227339E1,6.241914347E0
2.214043510E2,2.509503842E1,5.854961854E0
2.219025892E2,2.575470520E1,6.028135265E0
2.224005768E2,2.613498506E1,6.148763001E0
2.228987214E2,2.678339886E1,6.213390840E0
2.233967484E2,2.721498349E1,6.239544706E0
2.238947811E2,2.755951809E1,6.222787910E0
2.248905147E2,2.818739042E1,6.072619565E0
