"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
3.463842460E1,1.875400752E1,-9.859549882E-1
3.513675850E1,1.734313150E1,-2.517905018E0
3.563523048E1,1.050456908E1,-4.207516615E0
3.613359194E1,5.153008309E0,-4.511730222E0
3.663181569E1,4.330591094E0,-5.056913959E0
3.762798147E1,3.846087842E0,-5.421498603E0
3.762798147E1,3.846087842E0,-5.421498603E0
3.812617116E1,4.149082967E0,-5.835466888E0
3.862412751E1,4.235625063E0,-6.693261545E0
3.912219834E1,3.601496323E0,-7.013491631E0
3.962039905E1,3.369524881E0,-7.210354744E0
4.011851827E1,3.356427202E0,-7.663043564E0
4.111471113E1,3.254162702E0,-8.079692850E0
4.161282181E1,3.243837515E0,-7.725428452E0
4.211094592E1,3.303595193E0,-6.143194922E0
4.260905618E1,4.045178743E0,-1.840831674E0
4.310716035E1,5.327738892E0,2.236091633E0
4.360531676E1,5.532902219E0,3.464197913E0
4.410342775E1,7.068622369E0,2.840247161E0
4.460150894E1,7.510579291E0,1.531110063E0
4.509967129E1,9.229844285E0,1.664602379E0
4.559778348E1,1.063808171E1,1.778649575E0
4.609589582E1,1.273973255E1,1.754905041E0
4.659396457E1,1.534450947E1,1.779834498E0
4.709206618E1,1.819477671E1,2.497175992E0
4.759018592E1,2.218795349E1,2.645497087E0
4.808814842E1,2.350916575E1,2.596155775E0
4.858599905E1,2.420628297E1,2.873222339E0
4.908392493E1,2.468322640E1,2.527328421E0
4.958196874E1,2.488435388E1,2.428273797E0
5.007994613E1,2.538801040E1,2.511495345E0
5.057809269E1,2.587156111E1,2.490703540E0
5.107626290E1,2.644165954E1,2.645874111E0
5.157428827E1,2.789401942E1,2.334421759E0
5.207225077E1,1.923289575E1,2.322258244E-1
5.257029269E1,1.826344017E1,1.203138598E0
5.306829759E1,1.833883905E1,1.888069565E0
5.356630176E1,1.856875167E1,2.464246061E0
5.406434358E1,1.896899718E1,1.298510904E0
5.456249108E1,1.931907982E1,1.234818982E0
5.506054910E1,1.904631638E1,1.011677016E0
5.555845978E1,1.891098998E1,9.128159713E-1
5.605636941E1,1.880146895E1,9.389541813E-1
5.655440993E1,1.823851604E1,5.641712391E-1
5.705240400E1,1.833557928E1,2.626742783E-1
5.755036822E1,1.838305232E1,2.774156172E-1
5.804823655E1,1.818291788E1,-3.600337587E-2
5.854614957E1,1.787187648E1,-2.908572406E-1
5.904409243E1,1.785886514E1,-2.764941582E-1
5.954224738E1,1.785665962E1,-2.549654201E-1
6.004000243E1,1.788729585E1,6.173333490E-1
6.053785420E1,1.814696732E1,2.854707376E0
6.103590863E1,1.897777020E1,1.980402877E0
6.153386358E1,2.049653546E1,1.860993793E0
6.203187837E1,2.270094854E1,2.014413269E0
6.252989332E1,2.410215254E1,1.457973661E0
6.302795150E1,2.454076445E1,1.338145286E0
6.352588874E1,2.492773320E1,1.533134224E0
6.402372327E1,2.544414034E1,1.479928248E0
6.452162681E1,2.336107131E1,3.509765777E-1
6.501931858E1,1.821595295E1,3.001996874E-1
6.551723509E1,1.898262288E1,5.635113568E-1
6.601510519E1,1.901714397E1,4.768817933E-1
6.651297431E1,1.914029485E1,2.169325779E-1
6.701083254E1,1.914715048E1,2.785541232E-1
6.750863842E1,1.914395402E1,3.302209114E-1
6.800662056E1,1.914957048E1,3.215987962E-1
6.850467545E1,1.934487789E1,4.527069361E-1
6.900263749E1,1.944230424E1,5.280233887E-1
6.950066092E1,2.091513684E1,1.083746349E0
6.999886431E1,2.319454949E1,6.695300204E-1
7.049719118E1,2.390017382E1,2.411539297E0
7.099533176E1,2.443408468E1,2.311835232E0
7.149360035E1,2.500020697E1,1.967029035E0
7.199180426E1,2.515378663E1,1.994382131E0
7.249009384E1,2.538769715E1,2.082565276E0
7.298840217E1,2.558669650E1,2.175030729E0
7.348673452E1,2.591439087E1,2.245223625E0
7.398493400E1,2.617798539E1,2.311080563E0
7.448323134E1,2.646903927E1,2.176428207E0
7.498146957E1,2.663207893E1,2.193817491E0
